genome_id	genome_name	taxon_id	kingdom	phylum	class	order	family	genus	species	taxon_lineage_ids	taxon_lineage_names
28901.2935	"""Salmonella enterica strain N43469 """	28901	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Salmonella	Salmonella enterica	131567;2;1224;1236;91347;543;590;28901	cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Salmonella;Salmonella enterica
28901.2936	"""Salmonella enterica strain N43475 """	28901	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Salmonella	Salmonella enterica	131567;2;1224;1236;91347;543;590;28901	cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Salmonella;Salmonella enterica
28901.2937	"""Salmonella enterica strain N43479 """	28901	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Salmonella	Salmonella enterica	131567;2;1224;1236;91347;543;590;28901	cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Salmonella;Salmonella enterica
28901.2938	"""Salmonella enterica strain N43480 """	28901	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Salmonella	Salmonella enterica	131567;2;1224;1236;91347;543;590;28901	cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Salmonella;Salmonella enterica
28901.2939	"""Salmonella enterica strain N43481 """	28901	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Salmonella	Salmonella enterica	131567;2;1224;1236;91347;543;590;28901	cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Salmonella;Salmonella enterica
28901.2940	"""Salmonella enterica strain N43823 """	28901	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Salmonella	Salmonella enterica	131567;2;1224;1236;91347;543;590;28901	cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Salmonella;Salmonella enterica
28901.2941	"""Salmonella enterica strain N43824 """	28901	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Salmonella	Salmonella enterica	131567;2;1224;1236;91347;543;590;28901	cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Salmonella;Salmonella enterica
28901.2942	"""Salmonella enterica strain N43832 """	28901	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Salmonella	Salmonella enterica	131567;2;1224;1236;91347;543;590;28901	cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Salmonella;Salmonella enterica
28901.2943	"""Salmonella enterica strain N43834 """	28901	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Salmonella	Salmonella enterica	131567;2;1224;1236;91347;543;590;28901	cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Salmonella;Salmonella enterica
622.268	"""Shigella dysenteriae strain CDC 9025-89 """	622	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Shigella	Shigella dysenteriae	131567;2;1224;1236;91347;543;620;622	cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Shigella;Shigella dysenteriae
622.269	"""Shigella dysenteriae strain CDC 9033-89  """	622	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Shigella	Shigella dysenteriae	131567;2;1224;1236;91347;543;620;622	cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Shigella;Shigella dysenteriae
622.141	"""Shigella dysenteriae strain HNCMB 20080 """	622	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Shigella	Shigella dysenteriae	131567;2;1224;1236;91347;543;620;622	cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Shigella;Shigella dysenteriae
622.213	"""Shigella dysenteriae strain sdZM603 """	622	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Shigella	Shigella dysenteriae	131567;2;1224;1236;91347;543;620;622	cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Shigella;Shigella dysenteriae
123820.3	"""[Actinobacillus] rossii strain NCTC10801"""	123820	Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae		[Actinobacillus] rossii	131567;2;1224;1236;135625;712;1524964;310966;123820	cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Pasteurellaceae incertae sedis;[Pasteurella] aerogenes-[Pasteurella] mairii-[Actinobacillus] rossii complex;[Actinobacillus] rossii
180856.3	"""[Bacillus thuringiensis] serovar konkukian strain BGSC 4AH1"""	180856	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus thuringiensis	131567;2;1783272;1239;91061;1385;186817;1386;86661;1428;180856	cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus;Bacillus cereus group;Bacillus thuringiensis;[Bacillus thuringiensis] serovar konkukian
76935.4	"""[Bacillus] agaradhaerens strain DSM 8721"""	76935	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Salipaludibacillus	Salipaludibacillus agaradhaerens	131567;2;1783272;1239;91061;1385;186817;1884449;76935	cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Bacilli;Bacillales;Bacillaceae;Salipaludibacillus;Salipaludibacillus agaradhaerens
79879.3	"""[Bacillus] clarkii strain DSM 8720"""	79879	Bacteria	Firmicutes	Bacilli	Bacillales	Sporolactobacillaceae		[Bacillus] clarkii	131567;2;1783272;1239;91061;1385;186821;663587;79879	cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Bacilli;Bacillales;Sporolactobacillaceae;Sporolactobacillaceae incertae sedis;[Bacillus] clarkii
46507.4	"""[Bacteroides] coagulans strain DSM 20705"""	46507	Bacteria	Firmicutes	Tissierellia			Ezakiella	Ezakiella coagulans	131567;2;1783272;1239;1737404;1737407;1582879;46507	cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Tissierellia;Tissierellia incertae sedis;Ezakiella;Ezakiella coagulans
483218.5	"""[Bacteroides] pectinophilus ATCC 43243"""	483218	Bacteria	Firmicutes	Clostridia	Clostridiales			[Bacteroides] pectinophilus	131567;2;1783272;1239;186801;186802;538999;384638;483218	cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Clostridia;Clostridiales;Clostridiales incertae sedis;[Bacteroides] pectinophilus;[Bacteroides] pectinophilus ATCC 43243
1232385.4	"""[Brevibacterium] flavum ZL-1"""	1232385	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Corynebacteriaceae	Corynebacterium	[Brevibacterium] flavum	131567;2;1783272;201174;1760;85007;1653;1716;92706;1232385	cellular organisms;Bacteria;Terrabacteria group;Actinobacteria;Actinobacteria;Corynebacteriales;Corynebacteriaceae;Corynebacterium;[Brevibacterium] flavum;[Brevibacterium] flavum ZL-1
92706.3	"""[Brevibacterium] flavum strain ATCC 15168"""	92706	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Corynebacteriaceae	Corynebacterium	[Brevibacterium] flavum	131567;2;1783272;201174;1760;85007;1653;1716;92706	cellular organisms;Bacteria;Terrabacteria group;Actinobacteria;Actinobacteria;Corynebacteriales;Corynebacteriaceae;Corynebacterium;[Brevibacterium] flavum
450367.5	"""[Brevibacterium] frigoritolerans strain FJAT-2396"""	450367	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	[Brevibacterium] frigoritolerans	131567;2;1783272;1239;91061;1385;186817;1386;450367	cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus;[Brevibacterium] frigoritolerans
260554.3	"""[Brevibacterium] halotolerans strain ATCC 25096"""	260554	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus halotolerans	131567;2;1783272;1239;91061;1385;186817;1386;653685;653388;260554	cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus;Bacillus subtilis group;Bacillus mojavensis subgroup;Bacillus halotolerans
260554.6	"""[Brevibacterium] halotolerans strain FJAT-2398"""	260554	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus halotolerans	131567;2;1783272;1239;91061;1385;186817;1386;653685;653388;260554	cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus;Bacillus subtilis group;Bacillus mojavensis subgroup;Bacillus halotolerans
260554.7	"""[Brevibacterium] halotolerans strain III-1"""	260554	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus halotolerans	131567;2;1783272;1239;91061;1385;186817;1386;653685;653388;260554	cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus;Bacillus subtilis group;Bacillus mojavensis subgroup;Bacillus halotolerans
1487.3	"""[Butyribacterium] methylotrophicum strain DSM 3468"""	1487	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	[Butyribacterium] methylotrophicum	131567;2;1783272;1239;186801;186802;31979;1485;1487	cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Clostridium;[Butyribacterium] methylotrophicum
